code_qualification,nom_qualification,meta_domaine
43,QualiPAC Chauffage - Pose de chauffe-eau thermodynamique (43),Installations d'énergies renouvelables
41,QualiPAC Chauffage - Pose de pompe à chaleur (PAC aérothermique ou géothermique et chauffe-eau thermodynamique) (41),Installations d'énergies renouvelables
NFMR440,Travaux de rénovation globale (NFMR440),Rénovation globale
AUDIT500-02,Audit énergétique (AUDIT500-02),Etudes énergétiques
22,Qualibois module Eau - Pose d'appareil de chauffage au bois hydraulique (chaudière bois et poêle) (22),Installations d'énergies renouvelables
23,Qualibois module Eau - Pose d'appareil de chauffage au bois indépendant (poêle et insert) (23),Installations d'énergies renouvelables
21,Qualibois module Air - Pose d'appareil de chauffage au bois indépendant (poêle et insert) (21),Installations d'énergies renouvelables
11,Qualisol - Pose de chauffe-eau solaire individuel (eau chaude solaire) (11),Installations d'énergies renouvelables
61,Chauffage + - Pose de chaudières à condensation et micro-cogénération (61),Travaux d'efficacité énergétique
12,Qualisol Combi - Pose de système solaire combiné (eau chaude et chauffage solaire) (12),Installations d'énergies renouvelables
43SPVRGE,Panneaux Solaires Photovoltaïques (43SPVRGE),Installations d'énergies renouvelables
71,Ventilation + - Pose de ventilation double flux (71),Travaux d'efficacité énergétique
51,Qualiforage module Sonde - Forage de sondes géothermiques verticales pour des systèmes géothermiques de très basse énergie (51),Installations d'énergies renouvelables
33,QualiPV 0-250kWc - Pose de générateur photovoltaïque raccordé au réseau (33),Installations d'énergies renouvelables
52,Qualiforage module Nappe - Forage d'eau pour des systèmes géothermiques de très basse énergie (52),Installations d'énergies renouvelables
13,Qualisol Collectif - Pose de système de production d'eau chaude sanitaire à partir de capteur solaire thermique (13),Installations d'énergies renouvelables
47VENRGE,Ventilation Mécanique (47VENRGE),Travaux d'efficacité énergétique
49CETRGE,Chauffe-eau thermodynamique  (49CETRGE),Installations d'énergies renouvelables
2,Architecte sur le site faire.fr (2),Rénovation globale
1,ARCHITECTE ELIGIBLE AUDIT ENERGETIQUE « MAPRIMERENOV » (1),Etudes énergétiques
CP032,AUDIT ÉNERGÉTIQUE BÂTIMENTS (CP032),Etudes énergétiques
1905,Audit énergétique des bâtiments (tertiaires et/ou habitations collectives) (1905),Etudes énergétiques
1332,Etude thermique réglementaire bâtiment collectif dhabitation et/ou tertiaire (1332),Etudes énergétiques
2008,Ingénierie des installations de production utilisant la biomasse en combustion (2008),Etudes énergétiques
1327,Ingénierie de la performance énergétique dans le traitement climatique du bâtiment (1327),Etudes énergétiques
2013,Ingénierie des installations de production utilisant lénergie géothermique (2013),Etudes énergétiques
1224,Ingénierie de la performance énergétique de lenveloppe du bâtiment (1224),Etudes énergétiques
1333,Etude ACV bâtiments neufs (référentiel E+C-) (1333),Etudes énergétiques
2012,AMO pour la réalisation dinstallations de production dénergie utilisant la biomasse (2012),Etudes énergétiques
2014,Ingénierie des installations de production utilisant lénergie solaire thermique (2014),Etudes énergétiques
1910,Accompagnement au commissionnement des installations techniques du bâtiment (1910),Etudes énergétiques
1007,Etude des ressources géothermiques (1007),Etudes énergétiques
1407,Étude déclairage intérieur (1407),Etudes énergétiques
2015,Ingénierie des installations solaires utilisant lénergie solaire photovoltaïque (2015),Etudes énergétiques
1326,Etude de la performance énergétique dans le traitement climatique du bâtiment (1326),Etudes énergétiques
2011,Étude dinstallations de production utilisant lénergie solaire photovoltaïque  (2011),Etudes énergétiques
2010,Étude dinstallations de production utilisant lénergie solaire thermique (2010),Etudes énergétiques
1911,Audit énergétique maisons individuelles (1911),Etudes énergétiques
1331,Etude thermique réglementaire maison individuelle (1331),Etudes énergétiques
44LCPTRGEr,"Radiateurs électriques, dont régulation (44LCPTRGEr)",Travaux d'efficacité énergétique
44LCPTRGEv,Ventilation Mécanique (44LCPTRGEv),Travaux d'efficacité énergétique
48PACRGE,Pompe à chaleur : Chauffage (48PACRGE),Installations d'énergies renouvelables
48PACRGEc,Chauffe-eau thermodynamique  (48PACRGEc),Installations d'énergies renouvelables
45MGTIRGEr,"Radiateurs électriques, dont régulation (45MGTIRGEr)",Travaux d'efficacité énergétique
45MGTIRGEv,Ventilation Mécanique (45MGTIRGEv),Travaux d'efficacité énergétique
46CHERGE,"Radiateurs électriques, dont régulation (46CHERGE)",Travaux d'efficacité énergétique
1333,Etude ACV bâtiments neufs (1333),Etudes énergétiques
C001D117,Offre Globale de Rénovation Energétique (C001D117),Rénovation globale
C001D119,Offre Globale de Rénovation Energétique (C001D119),Etudes énergétiques
8611M3D111,"Efficacité énergétique - ""ECO Artisan®"" - Charpentier (8611M3D111)",Travaux d'efficacité énergétique
8611M3D112,"Efficacité énergétique - ""ECO Artisan®"" - Charpentier (8611M3D112)",Travaux d'efficacité énergétique
8611M3D115,"Efficacité énergétique - ""ECO Artisan®"" - Charpentier (8611M3D115)",Travaux d'efficacité énergétique
8611M4D111,"Efficacité énergétique - ""ECO Artisan®"" - Plâtrier / Plaquiste (8611M4D111)",Travaux d'efficacité énergétique
8611M4D114,"Efficacité énergétique - ""ECO Artisan®"" - Plâtrier / Plaquiste (8611M4D114)",Travaux d'efficacité énergétique
8611M4D115,"Efficacité énergétique - ""ECO Artisan®"" - Plâtrier / Plaquiste (8611M4D115)",Travaux d'efficacité énergétique
8611M10D109,"Efficacité énergétique - ""ECO Artisan®"" - Menuisier (8611M10D109)",Travaux d'efficacité énergétique
7122D114,Isolation thermique par l'intérieur (7122D114),Travaux d'efficacité énergétique
5211D101,Remplacement de chaudière gaz/fuel en logement individuel (5211D101),Travaux d'efficacité énergétique
8621T16D111,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Isolations parois verticales opaques et planchers bas (8621T16D111)",Travaux d'efficacité énergétique
8621T16D112,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Isolations parois verticales opaques et planchers bas (8621T16D112)",Travaux d'efficacité énergétique
8621T16D115,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Isolations parois verticales opaques et planchers bas (8621T16D115)",Travaux d'efficacité énergétique
